;注释
;默认城市
;默认城市id必须设置准确，id获取方法：使用天气添加城市，使用命令“adb logcat | grep setCityInfo”，即可获取该城市id
@default:阿尔及尔,gn2507480,阿尔及利亚,Algiers,aerjier,aeje,Algeria
布鲁塞尔,gn2800866,比利时,Brussels,bulUnited Statesier,blse,Belgium
苏黎世,54504,瑞士,Zurich,sulishi,sls,Switzerland
日内瓦,gn7285902,瑞士,Geneva,rineiwa,rnw,Switzerland
维也纳,gn2761369,奥地利,Vienna,weiyena,wyn,Austria
米兰,gn3173435,意大利,Milan,milan,ml,Italy
马赛,gn6447142,法国,Marseille,masai,ms,France
巴黎,gn2988506,法国,Paris,bali,bl,France
伦敦,gn2643743,英国,London,lundun,ld,United Kingdom
曼彻斯特,60709,英国,Manchester,manchesite,mcst,United Kingdom
马德里,gn6355233,西班牙,Madrid,madeli,mdl,Spain
巴塞罗那,gn3128759,西班牙,Barcelona,basailuona,bsln,Spain
罗马,67205,意大利,Rome,luoma,lm,Italy
雅典,63340,希腊,Athens,yadian,yd,Greece
伊斯坦布尔,gn745042,土耳其,Istanbul,yisitanbuer,ystbe,Turkey
多伦多,gn6167865,加拿大,Toronto,duolunduo,dld,Canada
蒙特利尔,gn6077243,加拿大,Montreal,mengtelier,mtle,Canada
渥太华,gn6094817,加拿大,Ottawa,wotaih,wth,Canada
芝加哥,14745,美国,Chicago,zhijiage,zjg,United States
纽约,gn5128638,美国,New York,niuyue,ny,United States
波士顿,gn4930956,美国,Boston,boshidun,bsd,United States
华盛顿,gn5815135,美国,Washington,huashengdun,hsd,United States
亚特兰大,gn4180439,美国,Atlanta,yatelanda,ytld,United States
迈阿密,gn4164138,美国,Miami,maiami,mam,United States
休斯敦,gn4699066,美国,Houston,xiusidun,xsd,United States
温哥华,gn6173331,加拿大,Vancouver,wengehua,wgh,Canada
西雅图,gn5809844,美国,Seattle,xiyatu,xyt,United States
旧金山,gn5391959,美国,San Francisco,jiujinshan,jjs,United States
洛杉矶,gn5368361,美国,Los Angeles,luoshanji,lsj,United States
拉斯维加斯,gn5506956,美国,Las Vegas,lasiweijiasi,lswjs,United States
夏威夷,gn5855797,美国,Hawaii,xiaweiyi,xwy,United States
哈瓦那,gn3553478,古巴,Havana,hawana,hwn,Cuba
墨西哥城,gn3530597,墨西哥,Mexico City,moxigecheng,mxgc,Mexico
加拉加斯,gn3646738,委内瑞拉,Caracas,jialajiasi,jljs,Venezuela
利马,gn3936452,秘鲁,Lima,lima,lm,Peru
里约热内卢,gn6322060,巴西,Rio de Janeiro,liyuereneilu,lyrnl,Brazil
圣保罗,gn3448433,巴西,Sao Paulo,shengbaoluo,sbl,Brazil
布宜诺斯艾利斯,gn3435907,阿根廷,Buenos Aires,buyinuosiailisi,bynsals,Argentina
圣地亚哥,gn3871336,智利,Santiago,shengdiyage,sdyg,Chile
泊斯,gn2063523,澳大利亚,Perth,bosi,bs,Australia
布里斯班,gn2174003,澳大利亚,Brisbane,bulisiban,blsb,Australia
悉尼,gn2147714,澳大利亚,Sydney,xini,xn,Australia
墨尔本,gn2158177,澳大利亚,Melbourne,moerben,meb,Australia
奥克兰,gn2193734,新西兰,Auckland,aokelan,akl,New Zealand
惠灵顿,gn2179537,新西兰,Wellington,huilingdun,hld,New Zealand
伊斯兰堡,gn1176615,巴基斯坦,Islamabad,yisilanbao,yslb,Pakistan
